ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
150,2,-0.507869194245103,41.1612822843265,30,709089.213877632,4559655.11094471,16970,81345,709095,4559655,30TYL
151,2,22.2440419625853,-32.0203454022782,34,617484.529932883,-3543367.16567573,13916,384780,617475,-3543375,34HFK
152,5,129.442130388967,42.3428624422825,52,536419.003734107,4687939.63809319,11214,117069,536415,4687935,52TEM
153,3,89.5239186421078,49.7407570198285,45,681843.012175202,5512864.88901114,16062,119571,681855,5512875,45UXR
154,6,-1.25812162736651,46.9514556760754,30,632545.83959707,5201242.16327475,14418,59959,632535,5201235,30TXT
155,4,-98.9243086465892,32.843272657656,14,507083.246439701,3633914.89156307,10236,182203,507075,3633915,14SNB
156,2,116.57322776088,50.9694806731172,50,470033.978767769,5646517.72720009,9001,95116,470025,5646525,50UMB
157,1,-109.230131499976,71.7815112348078,12,561751.143053167,7965468.215156,12059,27818,561765,7965465,12WWE
158,2,37.0229359498332,47.6228362179242,37,351450.834348634,5276275.08555376,5049,124124,351465,5276265,37TCN
159,1,-75.7071306510181,38.5647355567276,18,438394.586119025,4268713.62249741,7947,167709,438405,4268715,18SVH
160,2,24.49291149999,14.0099817504791,35,229192.439975902,1550265.26298062,973,248324,229185,1550265,35PKR
161,5,171.758873268967,68.4721066934092,59,531076.407446998,7595692.9521113,11036,6810,531075,7595685,59WNS
162,2,22.985391524501,-21.0637579488547,34,706282.459969518,-2330488.81185579,16876,344350,706275,-2330475,34KGB
163,6,-67.1779550655336,-12.8590024531791,19,697726.210343098,-1422243.27853491,16591,357408,697725,-1422255,19LFF
164,1,131.184677411485,-27.2403534652121,52,716321.116630338,-3014945.37197762,17211,373832,716325,-3014955,52JGQ
165,3,36.3465043715897,5.4665577307554,37,205962.413313276,604886.242542687,199,279837,205965,604875,37NBG
166,5,-120.95294731834,38.9498877400107,10,677390.845927054,4313208.16220293,12579,146226,677385,4313205,10SFJ
167,3,88.9891118049228,44.2427338734966,45,658824.556718939,4900757.2286539,15294,139975,658815,4900755,45TXK
168,4,73.0273392390728,30.0560257751621,43,309829.535797942,3326633.5343335,3661,189112,309825,3326625,43RCP
169,6,125.228894433652,62.0770947577555,51,616431.853220815,6884770.02360754,13881,47175,616425,6884775,51VXJ
170,4,-107.765416871723,46.7261508245107,12,747156.902912025,5179815.10768209,18239,120673,747165,5179815,12TYS
171,1,-109.215671297206,43.0443908510389,12,645334.592644295,4767289.27156112,14845,134424,645345,4767285,12TXN
172,3,39.713106538118,38.5534706703203,37,562135.738717623,4267467.64143939,12071,157751,562125,4267455,37SEC
173,1,68.5669261463767,30.9026955208248,42,458614.036551743,3418898.56468764,8621,189370,458625,3418905,42RVV
174,4,-100.421143881945,26.63206880758,14,358536.220913485,2946471.07567763,5285,205118,358545,2946465,14RLQ
175,5,-58.0815522684149,-30.5179557959424,21,396229.735089214,-3376678.71208601,6541,422555,396225,-3376665,21JUG
176,4,-103.418852857721,34.456731960147,13,645236.07977107,3813933.39165493,14841,172868,645225,3813945,13SFU
177,2,129.637361813328,-17.5782625789105,52,567632.511277314,-1943640.77003169,12255,338122,567645,-1943655,52KEF
178,2,-37.5463952881813,-4.7937668480541,24,661204.938114119,-530038.587738791,15374,327667,661215,-530025,24MXV
179,3,31.5111780480137,57.9048927075039,36,411768.019579385,6419092.88273489,7059,49364,411765,6419085,36VVK
180,5,5.05552984715777,49.4293274874473,31,649045.278800138,5477215.11323755,14968,114094,649035,5477205,31UFQ
181,1,172.326036439835,-40.9977606170427,59,611526.876717469,-4539355.20424432,13718,411311,611535,-4539345,59GPQ
182,5,162.386551326787,69.5854028417849,57,631775.368796884,7723290.54710518,14393,5890,631785,7723305,57WXT
