,datetime,burst_id,site_id,site_lon,site_lat,vv,vh,vv/vh
62,2021-10-19 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.15997973084449768, 0.17920158803462982, 0.10132375359535217, 0.12011213600635529, 0.09256421774625778, 0.11418893933296204, 0.08158605545759201, 0.1346200555562973, 0.07572248578071594]","[0.06995511800050735, 0.03162597864866257, 0.047141481190919876, 0.04949678108096123, 0.062308169901371, 0.03593055158853531, 0.05901094526052475, 0.06937217712402344, 0.036301080137491226]","[2.286890983581543, 5.666277885437012, 2.1493544578552246, 2.4266655445098877, 1.4855871200561523, 3.1780457496643066, 1.382557988166809, 1.9405481815338135, 2.0859568119049072]"
63,2021-10-25 14:06:56,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.3135535717010498, 0.3092367649078369, 0.17393991351127625, 0.307059109210968, 0.4426821172237396, 0.2761768698692322, 0.15189872682094574, 0.43797534704208374, 0.182511106133461]","[0.08372364938259125, 0.11743168532848358, 0.05640439689159393, 0.06108781322836876, 0.055843666195869446, 0.13105632364749908, 0.07071197777986526, 0.06812293082475662, 0.05171225219964981]","[3.7451016902923584, 2.633333206176758, 3.0838005542755127, 5.026519775390625, 7.927167892456055, 2.107314348220825, 2.148132801055908, 6.4291911125183105, 3.5293591022491455]"
64,2021-10-31 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.09790053218603134, 0.25147202610969543, 0.13164269924163818, 0.15406177937984467, 0.1666157841682434, 0.2008211761713028, 0.15380732715129852, 0.2154277116060257, 0.22920896112918854]","[0.050552669912576675, 0.07871074229478836, 0.04384692758321762, 0.04119244962930679, 0.05013338476419449, 0.017852555960416794, 0.04482614994049072, 0.04856691136956215, 0.027398936450481415]","[1.936604619026184, 3.1948883533477783, 3.002324342727661, 3.740048885345459, 3.3234498500823975, 11.248875617980957, 3.431196451187134, 4.4356889724731445, 8.365614891052246]"
65,2021-11-06 14:06:56,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.21845661103725433, 0.13290119171142578, 0.1530550867319107, 0.17506445944309235, 0.1660204827785492, 0.22960792481899261, 0.2437852919101715, 0.1403590440750122, 0.1251479834318161]","[0.06120755895972252, 0.040066152811050415, 0.055937036871910095, 0.04375028982758522, 0.035172559320926666, 0.04904861003160477, 0.06167914718389511, 0.04007081314921379, 0.025827543810009956]","[3.5691115856170654, 3.3170440196990967, 2.7362029552459717, 4.001446723937988, 4.720170497894287, 4.68123197555542, 3.952475070953369, 3.502774953842163, 4.845523834228516]"
66,2021-11-12 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1474931240081787, 0.2031189203262329, 0.1506102830171585, 0.14952561259269714, 0.17201364040374756, 0.14062856137752533, 0.16282734274864197, 0.14602018892765045, 0.08998701721429825]","[0.04690489545464516, 0.0882098451256752, 0.04109974205493927, 0.07155214995145798, 0.08052100241184235, 0.047876015305519104, 0.0785026103258133, 0.058458924293518066, 0.02671864442527294]","[3.144514560699463, 2.3026785850524902, 3.664506673812866, 2.089743137359619, 2.136258125305176, 2.9373488426208496, 2.074164628982544, 2.4978253841400146, 3.367948532104492]"
67,2021-11-18 14:06:55,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1957942098379135, 0.1946498602628708, 0.14229285717010498, 0.12560278177261353, 0.3036022484302521, 0.15042002499103546, 0.07489767670631409, 0.17873439192771912, 0.25364312529563904]","[0.04259621724486351, 0.038578733801841736, 0.04733024537563324, 0.0390702560544014, 0.04419800639152527, 0.032107483595609665, 0.03304591402411461, 0.08214665949344635, 0.02967318892478943]","[4.596516132354736, 5.045522212982178, 3.006383180618286, 3.2147929668426514, 6.869139194488525, 4.684889793395996, 2.2664730548858643, 2.1757962703704834, 8.54788875579834]"
68,2021-11-24 14:07:41,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.14796030521392822, 0.11839273571968079, 0.13104189932346344, 0.13031427562236786, 0.15566900372505188, 0.12137191742658615, 0.1755446046590805, 0.16302336752414703, 0.061080846935510635]","[0.03877247869968414, 0.03681511804461479, 0.03493310138583183, 0.029979340732097626, 0.03199831023812294, 0.042599454522132874, 0.04923124611377716, 0.04087429866194725, 0.03062894009053707]","[3.8161168098449707, 3.2158727645874023, 3.7512242794036865, 4.346802711486816, 4.864913463592529, 2.849142551422119, 3.5657153129577637, 3.988407611846924, 1.9942200183868408]"
69,2021-11-30 14:06:55,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.13483014702796936, 0.1819463074207306, 0.12598830461502075, 0.26429182291030884, 0.17607258260250092, 0.17460131645202637, 0.19671513140201569, 0.10796883702278137, 0.23309998214244843]","[0.07355689257383347, 0.0407419316470623, 0.014093522913753986, 0.05990389361977577, 0.04706200212240219, 0.02320908010005951, 0.024544188752770424, 0.050892945379018784, 0.053152088075876236]","[1.8330049514770508, 4.465824127197266, 8.939447402954102, 4.411930561065674, 3.7412896156311035, 7.522974491119385, 8.01473331451416, 2.1214892864227295, 4.385528087615967]"
70,2021-12-06 14:07:40,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1652049571275711, 0.17805422842502594, 0.11846211552619934, 0.21060656011104584, 0.1429317146539688, 0.062071509659290314, 0.09832240641117096, 0.1417643129825592, 0.09934131801128387]","[0.027973055839538574, 0.025853894650936127, 0.04329680651426315, 0.028749564662575722, 0.024739546701312065, 0.03395083546638489, 0.057709742337465286, 0.05813871696591377, 0.019978772848844528]","[5.905860424041748, 6.8869404792785645, 2.7360475063323975, 7.32555627822876, 5.777459144592285, 1.8282763957977295, 1.703740119934082, 2.438380479812622, 4.972343444824219]"
71,2021-12-12 14:06:54,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.17598378658294678, 0.23755934834480286, 0.16618701815605164, 0.1662823110818863, 0.19510647654533386, 0.13590577244758606, 0.12113875150680542, 0.30298376083374023, 0.088995561003685]","[0.054392438381910324, 0.06567608565092087, 0.027052758261561394, 0.04137875512242317, 0.05762859806418419, 0.03167175501585007, 0.049694571644067764, 0.07762087881565094, 0.04391965642571449]","[3.235445737838745, 3.617136240005493, 6.143071174621582, 4.018543243408203, 3.3855843544006348, 4.291071891784668, 2.4376657009124756, 3.9033796787261963, 2.0263264179229736]"
72,2021-12-18 14:07:40,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1512470543384552, 0.2426363229751587, 0.14202004671096802, 0.2571863532066345, 0.25084131956100464, 0.20618772506713867, 0.3128761649131775, 0.2667325437068939, 0.31438684463500977]","[0.05510006099939346, 0.03620465472340584, 0.04250453785061836, 0.06857035309076309, 0.07141535729169846, 0.069193035364151, 0.07489098608493805, 0.037957508116960526, 0.0992809385061264]","[2.74495267868042, 6.701798915863037, 3.3412914276123047, 3.7506930828094482, 3.5124282836914062, 2.979891300201416, 4.177754878997803, 7.027135372161865, 3.1666386127471924]"
